Aberdeen;ABR;South Dakota
Abilene;ABI;Texas
Akron;CAK;Ohio
Alamosa;ALS;Colorado
Albany;ALB;New York
Albuquerque;ABQ;New Mexico
Allentown;ABE;Pennsylvania
Alma;AMG;Georgia
Alpena;APN;Michigan
Amarillo;AMA;Texas
Anchorage;ANC;Alaska
Anderson;AND;South Carolina
Annette;ANN;Alaska
Asheville;AVL;North Carolina
Astoria;AST;Oregon
Athens;AHN;Georgia
Atlanta;ATL;Georgia
Atlantic City;ACY;New Jersey
Augusta;AGS;Georgia
Austin/Bergstrom;AUS;Texas
Austin/City;ATT;Texas
Bakersfield;BFL;California
Baltimore;BWI;Maryland
Bangor;BGR;Maine
Baton Rouge;BTR;Louisiana
Beaumont/Port Arthur;BPT;Texas
Beckley;BKW;West Virginia
Bethel;BET;Alaska
Bettles;BTT;Alaska
Billings;BIL;Montana
Binghamton;BGM;New York
Birmingham;BHM;Alabama
Bishop;BIH;California
Bismarck;BIS;North Dakota
Blacksburg;BCB;VA
Boise;BOI;Idaho
Boston;BOS;Massachusetts
Bridgeport;BDR;Connecticut
Bristol/Jhnsn Cty/Kngsprt;TRI;Tennessee
Brownsville;BRO;Texas
Buffalo;BUF;New York
Burlington;BTV;Vermont
Burns;BNO;Oregon
Butte;BTM;Montana
Cape Girardeau;CGI;Missouri
Cape Hatteras;HSE;North Carolina
Caribou;CAR;Maine
Casper;CPR;Wyoming
Cedar Rapids;CID;Iowa
Charleston;CHS;South Carolina
Charleston;CRW;West Virginia
Charlotte;CLT;North Carolina
Chattanooga;CHA;Tennessee
Cheyenne;CYS;Wyoming
Chicago;ORD;Illinois
Childress;CDS;Texas
China Lake;NID;California
Clarksville;CKV;Tennessee
Clayton;CAO;New Mexico
Cleveland;CLE;Ohio
Cold Bay;CDB;Alaska
College Station;CLL;Texas
Colorado Springs;COS;Colorado
Columbia;CAE;South Carolina
Columbia;COU;Missouri
Columbus;CMH;Ohio
Concord;CCR;California
Concord;CON;New Hampshire
Concordia;CNK;Kansas
Cordova;CDV;Alaska
Corpus Christi;CRP;Texas
Covington;CVG;Kentucky
Craig;CAG;Colorado
Crossville;CSV;Tennessee
Cut Bank;CTB;Montana
Dalhart;DHT;Texas
Dallas;DAL;Texas
Dallas-Fort Worth;DFW;Texas
Dayton;DAY;Ohio
Daytona Beach;DAB;Florida
Deer Park;DEW;Washington
Del Rio;DRT;Texas
